ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
-3.345073651782556112e+00,1.603965913620821193e-01,9.189114564838284593e+00
